cell_ID	Chi2
491	484.802
722	387.303
735	333.303
1061	614.245
1411	334.58
4026	1048.4
4608	348.348
4609	370.878
4610	347.814
4615	425.973
4616	393.261
4617	334.034
4618	390.219
4619	387.561
4620	379.754
4622	406.743
4623	432.316
4655	336.66
4656	343.37
4657	397.152
4658	347.529
4659	334.741
4660	349.079
4662	401.583
4663	372.528
4668	395.756
4669	398.033
4670	382.251
4671	334.339
4680	433.364
4681	445.953
4682	390.751
4683	352.153
4684	367.517
4685	392.261
4686	428.863
4687	366.16
4692	443.778
4693	487.393
4694	445.769
4695	459.841
4696	422.799
4697	414.599
4698	463.789
4699	459.443
4700	372.226
4701	440.521
4702	339.263
4703	364.68
4705	384.9
4707	705.028
4709	773.742
4711	715.744
4713	576.689
4715	534.523
4717	865.878
4718	419.137
4719	965.759
4720	374.477
4721	423.73
4722	387.74
4723	440.03
4724	383.83
4726	313.424
4728	410.32
4729	370.98
4730	370.279
4731	402.679
4732	350.264
4733	316.91
4734	341.444
4735	420.266
4742	407.036
4748	402.54
4749	444.325
4750	353.999
4751	430.754
4752	350.687
4753	768.428
4754	363.268
4755	1175.92
4756	398.391
4757	1047.74
4758	431.925
4759	968.92
4761	991.611
4763	612.089
4764	394.675
4765	858.249
4766	408.355
4767	874.154
4768	360.495
4769	468.22
4770	376.049
4771	476.853
4772	370.751
4773	412.802
4774	373.097
4775	370.638
4780	372.779
4781	431.714
4783	356.006
4784	333.437
4785	399.48
4787	407.637
4788	395.004
4789	420.277
4790	390.292
4791	412.578
4792	426.165
4793	460.062
4794	387.882
4795	446.731
4797	391.379
4798	330.071
4800	359.885
4801	472.268
4802	367.18
4803	597.769
4804	394.589
4805	644.13
4806	368.101
4807	661.392
4813	488.246
4816	360.437
4818	357.637
4819	423.765
4820	370.099
4822	363.318
4823	412.13
4824	357.674
4825	421.364
4826	362.758
4827	310.58
4828	378.227
4829	458.736
4830	375.652
4831	424.22
4832	362.522
4833	425.328
4834	372.715
4836	379.884
4840	377.154
4841	349.802
4842	371.539
4843	438.189
4844	401.647
4845	482.675
4848	342.145
4849	469.113
4850	353.119
4851	670.501
4852	389.854
4853	635.731
4854	380.214
4855	504.172
4856	421.234
4857	654.232
4858	431.394
4859	601.673
4860	426.156
4861	530.774
4862	398.749
4863	320.299
4864	386.718
4865	520.403
4866	395.68
4867	452.289
4868	388.192
4869	399.792
4870	421.94
4871	389.554
4872	397.477
4873	451.113
4874	416.564
4875	466.566
4876	374.47
4877	433.032
4878	404.7
4879	368.682
4880	402.18
4881	365.705
4882	419.684
4883	431.129
4884	403.806
4886	364.751
4887	300.293
4888	420.979
4889	442.47
4890	449.767
4891	463.401
4892	380.216
4893	406.11
4894	354.987
4895	338.007
4896	310.506
4897	407.66
4898	341.701
4899	426.035
4900	350.299
4901	381.424
4902	356.893
4903	413.473
4904	342.741
4905	406.804
4906	341.577
4907	378.026
4908	350.61
4909	408.977
4910	350.036
4911	399.942
4912	386.239
4913	404.015
4914	375.762
4915	421.924
4916	414.3
4917	434.324
4918	400.636
4919	453.019
4920	394.089
4921	441.54
4922	390.241
4923	378.637
4924	416.051
4925	464.448
4926	398.102
4927	432.239
4928	412.38
4929	455.401
4930	425.314
4931	500.107
4932	366.038
4933	377.705
4934	387.73
4935	450.93
4936	386.85
4938	414.815
4939	381.529
4940	348.857
4941	408.791
4942	335.847
4943	360.496
4944	348.422
4945	399.323
4946	357.239
4947	425.17
4948	345.5
4949	388.81
4953	391.938
4954	358.434
4955	418.869
4956	369.434
4957	445.875
4958	369.965
4959	438.379
4960	406.428
4961	477.555
4962	433.948
4963	440.704
4964	409.686
4965	486.002
4966	402.948
4967	392.938
4968	439.789
4969	471.675
4970	401.3
4971	436.906
4972	377.476
4973	397.109
4974	418.934
4976	435.509
4977	431.52
4978	428.341
4979	501.121
4980	412.545
4981	510.595
4982	466.573
4983	489.367
4984	434.142
4985	501.238
4986	421.558
4987	499.168
4988	394.799
4989	468.424
4990	371.492
4991	411.058
4992	359.184
4993	452.366
4994	378.104
4995	386.402
4996	381.724
4997	421.894
4998	370.683
4999	453.061
5000	359.802
5001	395.968
5002	397.157
5003	455.731
5004	349.598
5005	330.114
5006	358.882
5007	335.167
5008	363.002
5009	434.497
5010	403.667
5011	412.017
5012	410.686
5013	460.821
5014	396.914
5015	465.973
5016	348.302
5017	368.133
5018	387.242
5019	448.467
5020	405.971
5021	447.619
5022	450.462
5023	562.608
5040	361.283
5041	429.239
5042	393.741
5043	427.253
5056	414.354
5057	482.896
5058	419.338
5059	486.233
5060	377.107
5064	431.393
5065	488.138
5066	442.12
5067	451.191
5068	446.594
5069	471.057
5070	449.606
5071	476.933
5075	307.167
5076	331.653
5077	386.859
5078	344.779
5079	408.484
5080	361.416
5081	421.155
5082	344.572
5083	366.966
5088	339.376
5089	332.636
5090	386.279
5092	301.183
5096	359.338
5097	408.479
5098	307.752
5099	369.943
5100	358.896
5101	343.355
5102	366.302
5106	363.606
5107	302.064
5108	394.017
5109	423.732
5110	426.238
5111	457.93
5112	394.877
5113	429.74
5114	443.872
5115	438.346
5116	461.354
5117	391.212
5118	451.76
5119	388.335
5136	342.618
5137	384.828
5138	349.868
5139	382.066
5158	383.756
5161	351.521
5164	351.935
5165	410.885
5166	395.987
5167	418.473
5184	370.101
5185	411.1
5186	308.032
5200	355.88
5202	385.719
5203	303.406
5204	418.056
5205	390.335
5206	374.659
5214	427.396
5215	413.045
5216	424.808
5217	370.361
5218	444.429
5219	398.017
5220	415.943
5221	438.682
5222	374.39
5223	435.712
5228	417.493
5229	408.006
5230	390.522
5231	356.462
5235	301.911
5242	355.864
5244	391.338
5245	376.39
5246	418.77
5247	403.826
5248	414.135
5249	470.229
5250	362.784
5251	354.229
5252	355.992
5254	352.426
5264	417.815
5265	397.139
5266	373.79
5267	426.523
5268	413.834
5269	417.867
5270	374.054
5271	422.975
5277	330.3
5278	354.891
5279	392.526
5284	391.948
5288	305.29
5292	416.288
5293	382.563
5294	392.699
5295	327.759
5296	368.295
5297	387.09
5298	342.251
5300	412.586
5301	454.442
5302	410.981
5303	421.192
5304	438.691
5305	421.271
5306	436.897
5307	465.923
5308	442.279
5309	452.624
5310	428.313
5311	427.031
5312	377.362
5313	398.041
5314	469.087
5315	405.174
5318	427.002
5319	431.984
5320	416.123
5321	434.062
5322	424.756
5323	366.845
5324	397.272
5325	430.81
5326	405.73
5327	431.255
5342	377.476
5344	388.835
5346	376.408
5348	427.386
5349	419.466
5350	409.585
5351	433.983
5352	429.93
5353	417.141
5354	442.518
5355	420.597
5359	380.321
5360	317.065
5361	359.915
5362	360.425
5363	353.557
5365	307.825
5366	381.511
5367	339.244
5370	338.56
5371	377.727
5372	445.343
5373	377.835
5374	384.296
5375	390.047
5384	394.153
5428	404.548
5430	389.15
5431	378.585
5432	434.444
5436	448.7
5437	423.051
5438	458.55
5439	309.421
5440	389.496
5441	364.022
5442	378.091
5444	401.244
5445	412.844
5446	430.983
5447	461.215
5448	365.907
5449	453.363
5450	484.013
5451	461.427
5452	444.595
5453	344.563
5454	395.468
5455	308.605
5456	341.784
5458	435.284
5459	305.461
5460	515.405
5461	487.546
5462	427.173
5463	482.199
5464	474.919
5465	462.618
5466	449.469
5467	535.895
5468	438.296
5470	391.899
5472	380.524
5473	387.877
5474	431.415
5475	405.827
5476	374.719
5477	368.311
5478	374.354
5479	391.097
5480	394.007
5481	347.308
5482	422.36
5483	401.31
5484	381.261
5486	383.351
5487	361.999
5500	421.879
5502	430.988
5503	383.396
5508	428.533
5509	382.07
5510	430.621
5511	434.371
5512	410.686
5513	311.151
5514	341.569
5516	385.613
5517	392.738
5518	405.122
5519	429.275
5520	373.947
5536	337.115
5538	386.468
5539	319.546
5540	398.989
5541	351.17
5542	388.774
5543	378.94
5562	340.101
5576	392.142
5577	405.505
5578	440.782
5579	438.657
5580	357.744
5581	330.931
5582	427.447
5583	396.647
5588	428.12
5589	417.836
5590	445.175
5591	446.644
5592	437.333
5593	355.115
5594	389.041
5595	390.231
5600	435.025
5601	362.821
5602	361.353
5603	326.227
5604	374.464
5606	348.919
5607	345.427
5608	381.169
5612	369.526
5613	386.938
5614	331.153
5615	340.729
5616	371.77
5629	301.98
5630	335.518
5631	367.788
5632	466.094
5633	425.25
5634	424.776
5635	447.071
5648	361.162
5649	456.264
5650	447.989
5651	433.917
5652	454.363
5653	396.104
5654	407.09
5655	406.686
5658	375.885
5659	357.567
5660	409.872
5661	373.583
5672	452.376
5673	385.779
5674	415.89
5675	366.121
5676	463.299
5677	438.423
5678	469.764
5679	480.058
5680	326.153
5684	393.704
5685	348.571
5686	351.29
5687	337.538
5696	438.804
5697	462.976
5698	393.524
5699	458.294
5704	436.432
5705	339.474
5706	468.981
5707	439.62
5708	482.633
5709	375.974
5710	445.989
