cell_ID	Chi_2parF	Chi_1parF
0	17.8418	20.441
1	109.566	709.306
2	32.3955	40.4068
3	223.426	1222.94
4	68.6441	110.884
5	182.292	2509.64
6	58.6935	82.1698
7	200.158	3531.76
8	48.8664	67.179
9	164.501	2905.25
10	80.6735	154.079
11	232.633	4129.39
12	39.8012	86.5103
13	192.721	3499.4
14	66.9869	121.649
15	186.306	3759.29
16	90.0232	203.975
17	179.04	3791.18
18	82.7686	196.137
19	181.774	3988.27
20	97.8126	208.597
21	183.767	3878.66
22	134.906	300.592
23	180.076	3870.55
24	109.942	312.871
25	214.655	4391.63
26	105.546	387.314
27	160.958	4049.35
28	130.198	346.108
29	203.725	4875.98
30	73.9635	391.585
31	177.878	4739.77
32	94.3922	345.377
33	170.592	4669.21
34	86.8345	388.2
35	190.087	4606.63
36	88.454	365.172
37	192.836	4883.96
38	121.647	351.837
39	149.638	4407.06
40	106.076	426.807
41	216.514	4005.89
42	108.008	432.479
43	173.624	4552.1
44	85.314	261.713
45	194.045	2527.49
46	70.7835	112.817
47	152.346	798.807
48	26.2556	30.7251
49	113.804	258.531
50	28.9689	38.4803
51	123.165	1156.52
52	66.3592	137.566
53	149.432	1920.68
54	83.6284	124.113
55	184.746	1936.97
56	-1	-1
57	-1	-1
58	1.69819e-07	0
59	-1	-1
60	1.64408	1.8
61	-1	-1
62	2.44832e-10	0
63	-1	-1
64	81.8186	260.863
65	182.021	3273.31
66	86.4674	229.613
67	188.746	2909.63
68	73.5399	275.44
69	162.869	3061.22
70	98.4711	312.249
71	161.527	3294.81
72	154.677	402.148
73	212.549	3497.77
74	114.371	496.181
75	164.948	3557.06
76	107.154	359.991
77	190.738	3396.89
78	91.738	356.986
79	179.691	3425.4
80	96.9659	331.905
81	176.975	3750.3
82	83.0575	297.229
83	172.717	3650.48
84	108.608	323.269
85	221.213	3570.71
86	76.5768	273.584
87	213.79	4350.68
88	83.7647	313.135
89	197.06	3992.85
90	100.847	306.697
91	172.931	3258.77
92	70.9828	158.89
93	177.157	2070.11
94	47.3062	65.6868
95	125.086	930.052
96	11.196	12.3118
97	107.208	385.498
98	27.0179	33.227
99	123.383	845.484
100	42.4345	60.9464
101	133.862	1276.49
102	39.6639	62.3516
103	4.61537e-13	0
104	38.1949	51.2264
105	125.359	1815.93
106	44.7183	85.9618
107	162.201	1610.17
108	47.4332	95.1713
109	116.044	1317.17
110	50.8763	71.281
111	133.2	1323.29
112	76.7407	106.462
113	138.653	1306.97
114	66.3517	93.5901
115	173.945	1793.26
116	54.0617	104.335
117	128.403	1082.73
118	58.2408	76.5189
119	147.017	1399.27
120	74.003	129.098
121	140.964	1986.89
122	77.112	132.103
123	150.436	1905.18
124	87.5264	156.893
125	180.054	1705.69
126	73.5799	166.635
127	175.515	1767.94
128	-1	-1
129	-1	-1
130	-1	-1
131	-1	-1
132	-1	-1
133	-1	-1
134	-1	-1
135	-1	-1
136	-1	-1
137	-1	-1
138	-1	-1
139	-1	-1
140	-1	-1
141	-1	-1
142	-1	-1
143	-1	-1
144	8.75757	9.67027
145	117.996	235.171
146	17.5153	20.1317
147	111.261	218.054
148	29.8345	34.011
149	98.8005	391.781
150	52.315	65.9015
151	90.3656	338.327
152	-1	-1
153	123.52	675.141
154	95.1991	159.785
155	146.243	720.967
156	50.1659	88.0104
157	123.423	741.066
158	60.833	109.571
159	157.685	908.263
160	56.2532	75.6055
161	138.175	684.787
162	40.3007	57.7032
163	164.642	728.132
164	60.2197	87.0473
165	126.234	810.185
166	52.6374	110.118
167	123.932	359.799
168	51.4231	102.045
169	114.521	696.934
170	60.8098	101.848
171	129.792	809.063
172	67.6507	107.842
173	115.922	333.51
174	79.9218	133.66
175	150.886	1027.08
176	-1	-1
177	-1	-1
178	-1	-1
179	-1	-1
180	-1	-1
181	-1	-1
182	-1	-1
183	-1	-1
184	-1	-1
185	-1	-1
186	-1	-1
187	-1	-1
188	-1	-1
189	-1	-1
190	-1	-1
191	-1	-1
192	19.5893	25.3719
193	67.196	178.54
194	17.8736	21.5784
195	99.6675	355.021
196	19.0144	19.6948
197	78.0117	108.927
198	-1	-1
199	85.8191	127.601
200	36.0666	51.554
201	133.843	528.187
202	29.3898	39.8364
203	112.099	461.882
204	17.4443	21.4484
205	123.954	282.254
206	26.7935	31.6425
207	83.8229	317.828
208	57.3637	80.0787
209	112.494	341.108
210	53.6914	85.5372
211	164.064	555.075
212	54.5807	74.1761
213	156.989	529.777
214	68.9445	96.6076
215	128.498	523.958
216	57.3252	93.3728
217	157.74	690.859
218	70.1068	135.174
219	111.648	561.585
220	77.4823	108.22
221	137.824	890.688
222	62.9352	145.74
223	125.791	857.056
224	-1	-1
225	-1	-1
226	-1	-1
227	-1	-1
228	-1	-1
229	-1	-1
230	-1	-1
231	-1	-1
232	-1	-1
233	-1	-1
234	-1	-1
235	-1	-1
236	-1	-1
237	-1	-1
238	-1	-1
239	-1	-1
240	9.66984	10.9149
241	60.7219	137.5
242	32.4193	39.8751
243	121.445	457.286
244	28.3221	42.3988
245	119.24	647.508
246	36.0963	60.4633
247	149.529	1068.49
248	56.8631	77.5133
249	113.914	1207.36
250	74.2975	120.106
251	129.929	913.513
252	70.0271	101.9
253	192.809	1126.89
254	77.172	127.955
255	148.245	1200.33
256	76.142	157.087
257	142.362	1285.48
258	71.8146	138.259
259	154.745	1236.72
260	63.9136	118.262
261	127.387	1010.31
262	95.601	189.339
263	138.778	1471.12
264	110.601	240.38
265	134.554	1610.86
266	103.676	172.447
267	142.832	1423.49
268	55.8476	185.735
269	134.692	1419.83
270	115.445	311.231
271	180.967	1587.19
272	-1	-1
273	-1	-1
274	-1	-1
275	-1	-1
276	-1	-1
277	-1	-1
278	-1	-1
279	-1	-1
280	-1	-1
281	-1	-1
282	-1	-1
283	-1	-1
284	-1	-1
285	-1	-1
286	-1	-1
287	-1	-1
288	18.8764	22.324
289	130.384	214.646
290	42.3266	60.0451
291	131.139	692.498
292	53.8153	87.5626
293	107.603	787.417
294	65.1756	92.2532
295	123.238	912.699
296	54.9386	83.2674
297	132.407	783.894
298	58.1126	85.0586
299	102.668	754.687
300	58.0384	90.3233
301	108.677	781.789
302	72.583	114.895
303	128.56	860.319
304	61.9298	104.181
305	127.763	965.476
306	70.4233	140.49
307	149.759	1010.96
308	76.0875	148.847
309	171.986	1132.55
310	86.209	156.09
311	128.469	1207.71
312	89.0209	225.483
313	157.871	1271.81
314	90.9291	210.104
315	143.596	811.425
316	78.1693	210.491
317	163.118	1421.14
318	96.1239	209.893
319	184.879	1562.25
320	109.788	302.745
321	146.654	1838.97
322	123.025	304.277
323	179.454	1373.74
324	5.42817	5.66912
325	171.157	2690.01
326	82.2776	544.08
327	156.476	2443.83
328	0.468818	0.481481
329	161.084	3370.48
330	91.5096	667.182
331	192.406	3055.12
332	87.7063	258.247
333	161.504	2196.5
334	56.1846	117.511
335	86.8069	517.439
336	12.7648	13.0037
337	60.3954	121.073
338	39.5265	45.6059
339	74.6204	427.164
340	45.0745	58.0471
341	121.493	683.537
342	51.3189	69.9721
343	107.163	798.081
344	68.8359	138.383
345	145.617	1007.77
346	85.8527	140.034
347	139.625	1268.03
348	101.542	183.66
349	140.242	1287.45
350	84.6698	168.204
351	127.355	1243.4
352	74.0235	150.389
353	0.48501	0.487179
354	75.4932	150.405
355	130.125	1149.58
356	72.1328	143.829
357	127.352	1035.98
358	82.0988	179.722
359	131.387	1437.3
360	83.2922	185.05
361	128.468	1361.24
362	86.0361	189.421
363	137.69	1228.22
364	84.8922	228.371
365	140.637	1217.63
366	76.0096	198.14
367	222.169	1348.18
368	97.1844	291.775
369	123.783	1886.41
370	86.0035	278.378
371	160.916	1876.69
372	85.6078	318.003
373	179.36	2493.46
374	131.761	340.637
375	180.374	2775.48
376	94.2613	280.893
377	151.585	2130.28
378	105.974	318.765
379	109.582	1778.21
380	116.608	240.074
381	163.435	1464.59
382	36.7299	54.175
383	87.7165	233.253
384	27.7053	37.8336
385	81.0495	217.158
386	48.4168	78.0013
387	150.579	559.219
388	57.156	91.4465
389	106.819	717.195
390	69.4351	140.509
391	122.079	849.51
392	56.0757	78.8968
393	115.63	650.423
394	74.7093	150.738
395	98.2314	705.032
396	80.1498	120.265
397	151.987	692.515
398	79.3423	131.397
399	137.925	834.555
400	34.9282	47.3384
401	84.508	127.41
402	29.5086	35.2584
403	89.7864	182.862
404	96.9267	145.27
405	88.3726	556.776
406	71.3105	143.24
407	116.756	530.228
408	78.7464	235.809
409	143.975	1123.47
410	73.8659	197.36
411	140.115	1109.76
412	110.292	194.93
413	141.577	1133.19
414	89.1143	312.515
415	154.26	1176.66
416	-1	-1
417	-1	-1
418	-1	-1
419	-1	-1
420	-1	-1
421	-1	-1
422	-1	-1
423	-1	-1
424	-1	-1
425	-1	-1
426	-1	-1
427	-1	-1
428	-1	-1
429	-1	-1
430	-1	-1
431	-1	-1
