cell_ID	Chi_2parF	Chi_1parF
0	12.0656	57.0578
1	31.2376	964.876
2	27.8187	100.833
3	49.4641	1607.14
4	44.9978	202.18
5	51.1295	3109.36
6	27.7002	172.048
7	87.6534	4205.83
8	29.7697	141.775
9	40.35	3483.72
10	21.8284	274.686
11	72.5553	4844.92
12	33.2132	175.538
13	51.0116	4156.2
14	23.8915	217.751
15	49.027	4467.39
16	24.8428	361.301
17	51.5417	4480.96
18	23.6395	319.688
19	50.6495	4740.61
20	28.8443	338.298
21	46.8307	4659.99
22	28.7995	482.219
23	68.8108	4679.09
24	35.079	463.262
25	63.6234	5105.4
26	31.5947	609.292
27	64.4758	4751.25
28	49.4561	513.512
29	66.1328	5627.25
30	26.8855	589.138
31	40.9546	5480.89
32	42.9402	578.875
33	48.7071	5519.11
34	32.7077	596.13
35	48.1293	5342.9
36	36.2346	562.688
37	53.8479	5594.29
38	29.3879	540.777
39	65.2221	5138.98
40	23.5526	663.737
41	77.8891	4678.99
42	32.7151	644.643
43	52.2182	5341.46
44	28.1097	413.656
45	42.3641	3067.91
46	16.3837	201.51
47	31.7605	1096.66
48	13.5143	73.8898
49	30.7378	388.641
50	14.1565	91.2738
51	49.7403	1562.09
52	23.6126	242.679
53	46.17	2398.53
54	33.4815	208.889
55	51.1639	2467.27
56	-1	-1
57	-1	-1
58	0.838139	0.888889
59	-1	-1
60	8.11748	8.81218
61	-1	-1
62	1.49711	1.67925
63	-1	-1
64	16.079	438.337
65	44.3509	3908.89
66	28.9648	384.561
67	67.3405	3426.02
68	42.724	453.993
69	51.8324	3676.88
70	27.7199	509.579
71	61.9439	3930.92
72	35.6195	590.289
73	54.025	4180.97
74	33.5147	730.759
75	37.8456	4197.57
76	35.4394	549.433
77	55.0288	4006.8
78	37.4932	542.742
79	37.9058	3976.4
80	31.5269	527.698
81	52.2869	4424.08
82	29.7165	453.773
83	38.6296	4274.38
84	28.7723	517.775
85	74.3553	4294.01
86	32.0767	449.957
87	125.234	5058.56
88	33.8324	525.688
89	51.549	4665.18
90	42.5352	501.74
91	52.5079	3886.63
92	29.8363	280.058
93	48.2092	2630.32
94	25.5068	138.433
95	60.5314	1232.18
96	13.9535	38.6062
97	30.2637	558.177
98	47.417	86.7113
99	32.211	1134.73
100	18.5741	127.355
101	44.4059	1623.16
102	16.5547	136.856
103	1.04558e-08	0
104	14.9023	113.061
105	82.787	2356.9
106	21.7773	162.591
107	43.7225	2074.79
108	28.1072	186.762
109	54.1702	1791.63
110	12.5256	133.526
111	74.7919	1730.81
112	33.7684	198.237
113	60.1519	1726.29
114	15.6998	173.971
115	40.1275	2227.98
116	24.767	209.319
117	38.2847	1434.79
118	16.8876	151.866
119	77.3857	1822.8
120	33.1127	250.281
121	33.3727	2481.92
122	28.9358	248.079
123	70.8779	2397.94
124	34.0891	276.938
125	57.4745	2141.13
126	11.0821	291.807
127	78.6475	2232.94
128	-1	-1
129	-1	-1
130	-1	-1
131	-1	-1
132	-1	-1
133	-1	-1
134	-1	-1
135	-1	-1
136	-1	-1
137	-1	-1
138	-1	-1
139	-1	-1
140	-1	-1
141	-1	-1
142	-1	-1
143	-1	-1
144	10.2563	26.1838
145	48.6142	364.908
146	16.5777	53.4168
147	37.1166	343.577
148	18.1102	75.5229
149	26.3314	589.189
150	18.43	116.384
151	37.925	547.854
152	-1	-1
153	28.0418	927.277
154	27.0112	256.07
155	35.5189	1001.63
156	42.1054	178.474
157	49.542	1027.54
158	20.7511	190.204
159	48.1617	1172.77
160	17.967	150.7
161	33.6496	979.643
162	24.9693	120.977
163	50.3427	1036.42
164	25.6932	175.037
165	54.462	1126.12
166	20.4557	225.276
167	35.0314	584.831
168	18.6731	186.517
169	31.2742	996.238
170	19.2007	192.381
171	23.0468	1117.69
172	24.2777	209.739
173	29.7899	530.359
174	17.4012	239.948
175	34.5135	1331.34
176	-1	-1
177	-1	-1
178	-1	-1
179	-1	-1
180	-1	-1
181	-1	-1
182	-1	-1
183	-1	-1
184	-1	-1
185	-1	-1
186	-1	-1
187	-1	-1
188	-1	-1
