cell_ID	Chi1	Chi2	Chi3
0	57.0578	12.0656	12.0656
1	964.876	31.2376	31.2376
2	100.833	27.8187	27.8187
3	1607.14	49.4641	42.913
4	202.18	44.9978	44.9978
5	3109.36	51.1295	47.9063
6	172.048	27.7002	27.7002
7	4205.83	87.6534	87.6534
8	141.775	29.7697	29.7697
9	3483.72	40.35	40.35
10	274.686	21.8284	21.7394
11	4844.92	72.5553	71.6765
12	175.538	33.2132	33.2132
13	4156.2	51.0116	48.1002
14	217.751	23.8915	23.8915
15	4467.39	49.027	46.7034
16	361.301	24.8428	24.8428
17	4480.96	51.5417	44.8541
18	319.688	23.6395	23.6395
19	4740.61	50.6495	45.0254
20	338.298	28.8443	28.8443
21	4659.99	46.8307	40.699
22	482.219	28.7995	28.4802
23	4679.09	68.8108	52.9442
24	463.262	35.079	35.079
25	5105.4	63.6234	51.0273
26	609.292	31.5947	31.5947
27	4751.25	64.4758	53.294
28	513.512	49.4561	49.4561
29	5627.25	66.1328	51.3318
30	589.138	26.8855	26.0689
31	5480.89	40.9546	38.2435
32	578.875	42.9402	41.9003
33	5519.11	48.7071	39.6352
34	596.13	32.7077	31.9686
35	5342.9	48.1293	36.8584
36	562.688	36.2346	35.8221
37	5594.29	53.8479	46.3356
38	540.777	29.3879	29.3879
39	5138.98	65.2221	41.6068
40	663.737	23.5526	22.6635
41	4678.99	77.8891	62.4926
42	644.643	32.7151	32.1412
43	5341.46	52.2182	46.695
44	413.656	28.1097	28.1097
45	3067.91	42.3641	41.2047
46	201.51	16.3837	16.3837
47	1096.66	31.7605	31.7605
48	73.8898	13.5143	13.5143
49	388.641	30.7378	30.7378
50	91.2738	14.1565	14.1565
51	1562.09	49.7403	49.639
52	242.679	23.6126	23.6126
53	2398.53	46.17	45.7344
54	208.889	33.4815	33.4815
55	2467.27	51.1639	50.1639
56	-1	-1	-1
57	-1	-1	-1
58	0.888889	0.83814	0.83814
59	-1	-1	-1
60	8.81218	8.11748	8.11748
61	-1	-1	-1
62	1.67925	1.49711	1.49711
63	-1	-1	-1
64	438.337	16.079	16.079
