cell_ID	Chi_2parF	Chi_1parF
1	17.8418	20.441
2	109.566	709.306
3	32.3955	40.4068
4	223.426	1222.94
5	68.6441	110.884
6	182.292	2509.64
7	58.6935	82.1698
8	200.158	3531.76
9	48.8664	67.179
10	164.501	2905.25
11	80.6735	154.079
12	232.633	4129.39
13	39.8012	86.5103
14	192.721	3499.4
15	66.9869	121.649
16	186.306	3759.29
17	90.0232	203.975
18	179.04	3791.18
19	82.7686	196.137
20	181.774	3988.27
21	97.8126	208.597
22	183.767	3878.66
23	134.906	300.592
24	180.076	3870.55
25	109.942	312.871
26	214.655	4391.63
27	105.546	387.314
28	160.958	4049.35
29	130.198	346.108
30	203.725	4875.98
31	73.9635	391.585
32	177.878	4739.77
33	94.3922	345.377
34	170.592	4669.21
35	86.8345	388.2
36	190.087	4606.63
37	88.454	365.172
38	192.836	4883.96
39	121.647	351.837
40	149.638	4407.06
41	106.076	426.807
42	216.514	4005.89
43	108.008	432.479
44	173.624	4552.1
45	85.314	261.713
46	194.045	2527.49
47	70.7835	112.817
48	152.346	798.807
49	26.2556	30.7251
50	113.804	258.531
51	28.9689	38.4803
52	123.165	1156.52
53	66.3592	137.566
54	149.432	1920.68
55	83.6284	124.113
56	184.746	1936.97
57	-1	-1
58	-1	-1
59	1.69819e-07	0
60	-1	-1
61	1.64408	1.8
62	-1	-1
63	2.44832e-10	0
64	-1	-1
65	81.8186	260.863
66	182.021	3273.31
67	86.4674	229.613
68	188.746	2909.63
69	73.5399	275.44
70	162.869	3061.22
71	98.4711	312.249
72	161.527	3294.81
73	154.677	402.148
74	212.549	3497.77
75	114.371	496.181
76	164.948	3557.06
77	107.154	359.991
78	190.738	3396.89
79	91.738	356.986
80	179.691	3425.4
81	96.9659	331.905
82	176.975	3750.3
83	83.0575	297.229
84	172.717	3650.48
85	108.608	323.269
86	221.213	3570.71
87	76.5768	273.584
88	213.79	4350.68
89	83.7647	313.135
90	197.06	3992.85
91	100.847	306.697
92	172.931	3258.77
93	70.9828	158.89
94	177.157	2070.11
95	47.3062	65.6868
96	125.086	930.052
97	11.196	12.3118
98	107.208	385.498
99	27.0179	33.227
100	123.383	845.484
101	42.4345	60.9464
102	133.862	1276.49
103	39.6639	62.3516
104	4.61537e-13	0
105	38.1949	51.2264
106	125.359	1815.93
107	44.7183	85.9618
108	162.201	1610.17
109	47.4332	95.1713
110	116.044	1317.17
111	50.8763	71.281
112	133.2	1323.29
113	76.7407	106.462
114	138.653	1306.97
115	66.3517	93.5901
116	173.945	1793.26
117	54.0617	104.335
118	128.403	1082.73
119	58.2408	76.5189
120	147.017	1399.27
121	74.003	129.098
122	140.964	1986.89
123	77.112	132.103
124	150.436	1905.18
125	87.5264	156.893
126	180.054	1705.69
127	73.5799	166.635
128	175.515	1767.94
129	-1	-1
130	-1	-1
131	-1	-1
132	-1	-1
133	-1	-1
134	-1	-1
135	-1	-1
136	-1	-1
137	-1	-1
138	-1	-1
139	-1	-1
140	-1	-1
141	-1	-1
142	-1	-1
143	-1	-1
144	-1	-1
145	8.75757	9.67027
146	117.996	235.171
147	17.5153	20.1317
148	111.261	218.054
149	29.8345	34.011
150	98.8005	391.781
151	52.315	65.9015
152	90.3656	338.327
153	-1	-1
154	123.52	675.141
155	95.1991	159.785
156	146.243	720.967
157	50.1659	88.0104
158	123.423	741.066
159	60.833	109.571
160	157.685	908.263
161	56.2532	75.6055
162	138.175	684.787
163	40.3007	57.7032
164	164.642	728.132
165	60.2197	87.0473
166	126.234	810.185
167	52.6374	110.118
168	123.932	359.799
169	51.4231	102.045
170	114.521	696.934
171	60.8098	101.848
172	129.792	809.063
173	67.6507	107.842
174	115.922	333.51
175	79.9218	133.66
176	150.886	1027.08
177	-1	-1
178	-1	-1
179	-1	-1
180	-1	-1
181	-1	-1
182	-1	-1
183	-1	-1
184	-1	-1
185	-1	-1
186	-1	-1
187	-1	-1
188	-1	-1
189	-1	-1
190	-1	-1
191	-1	-1
192	-1	-1
193	19.5893	25.3719
194	67.196	178.54
195	17.8736	21.5784
196	99.6675	355.021
197	19.0144	19.6948
198	78.0117	108.927
199	-1	-1
200	85.8191	127.601
201	36.0666	51.554
202	133.843	528.187
203	29.3898	39.8364
204	112.099	461.882
205	17.4443	21.4484
206	123.954	282.254
207	26.7935	31.6425
208	83.8229	317.828
209	57.3637	80.0787
210	112.494	341.108
211	53.6914	85.5372
212	164.064	555.075
213	54.5807	74.1761
214	156.989	529.777
215	68.9445	96.6076
216	128.498	523.958
217	57.3252	93.3728
218	157.74	690.859
219	70.1068	135.174
220	111.648	561.585
221	77.4823	108.22
222	137.824	890.688
223	62.9352	145.74
224	125.791	857.056
225	-1	-1
226	-1	-1
227	-1	-1
228	-1	-1
229	-1	-1
230	-1	-1
231	-1	-1
232	-1	-1
233	-1	-1
234	-1	-1
235	-1	-1
236	-1	-1
237	-1	-1
238	-1	-1
239	-1	-1
240	-1	-1
241	9.66984	10.9149
242	60.7219	137.5
243	32.4193	39.8751
244	121.445	457.286
245	28.3221	42.3988
246	119.24	647.508
247	36.0963	60.4633
248	149.529	1068.49
249	56.8631	77.5133
250	113.914	1207.36
251	74.2975	120.106
252	129.929	913.513
253	70.0271	101.9
254	192.809	1126.89
255	77.172	127.955
