cell_ID	Chi2
0	17.8418
1	109.566
2	32.3955
3	223.426
4	68.6441
5	182.292
6	58.6935
7	200.158
8	48.8664
9	164.501
10	80.6735
11	232.633
12	39.8012
13	192.721
14	66.9869
15	186.306
16	90.0232
17	179.04
18	82.7686
19	181.774
20	97.8126
21	183.767
22	134.906
23	180.076
24	109.942
25	214.655
26	105.546
27	160.958
28	130.198
29	203.725
30	73.9635
31	177.878
32	94.3922
33	170.592
34	86.8345
35	190.087
36	88.454
37	192.836
38	121.647
39	149.638
40	106.076
41	216.514
42	108.008
43	173.624
44	85.314
45	194.045
46	70.7835
47	152.346
48	26.2556
49	113.804
50	28.9689
51	123.165
52	66.3592
53	149.432
54	83.6284
55	184.746
58	1.69819e-07
60	1.64408
62	2.44832e-10
64	81.8186
65	182.021
66	86.4674
67	188.746
68	73.5399
69	162.869
70	98.4711
71	161.527
72	154.677
73	212.549
74	114.371
75	164.948
76	107.154
77	190.738
78	91.738
79	179.691
80	96.9659
81	176.975
82	83.0575
83	172.717
84	108.608
85	221.213
86	76.5768
87	213.79
88	83.7647
89	197.06
90	100.847
91	172.931
92	70.9828
93	177.157
94	47.3062
95	125.086
96	11.196
97	107.208
98	27.0179
99	123.383
100	42.4345
101	133.862
102	39.6639
103	4.61537e-13
104	38.1949
105	125.359
106	44.7183
107	162.201
108	47.4332
109	116.044
110	50.8763
111	133.2
112	76.7407
113	138.653
114	66.3517
115	173.945
116	54.0617
117	128.403
118	58.2408
119	147.017
120	74.003
121	140.964
122	77.112
123	150.436
124	87.5264
125	180.054
126	73.5799
127	175.515
144	8.75757
145	117.996
146	17.5153
147	111.261
148	29.8345
149	98.8005
150	52.315
151	90.3656
153	123.52
154	95.1991
155	146.243
156	50.1659
157	123.423
158	60.833
159	157.685
160	56.2532
161	138.175
162	40.3007
163	164.642
164	60.2197
165	126.234
166	52.6374
167	123.932
168	51.4231
169	114.521
170	60.8098
171	129.792
172	67.6507
173	115.922
174	79.9218
175	150.886
192	19.5893
193	67.196
194	17.8736
195	99.6675
196	19.0144
197	78.0117
199	85.8191
200	36.0666
201	133.843
202	29.3898
203	112.099
204	17.4443
205	123.954
206	26.7935
207	83.8229
208	57.3637
209	112.494
210	53.6914
211	164.064
212	54.5807
213	156.989
214	68.9445
215	128.498
216	57.3252
217	157.74
218	70.1068
219	111.648
220	77.4823
221	137.824
222	62.9352
223	125.791
240	9.66984
241	60.7219
242	32.4193
243	121.445
244	28.3221
245	119.24
246	36.0963
247	149.529
248	56.8631
249	113.914
250	74.2975
251	129.929
252	70.0271
253	192.809
254	77.172
255	148.245
256	76.142
257	142.362
258	71.8146
259	154.745
260	63.9136
261	127.387
262	95.601
263	138.778
264	110.601
265	134.554
266	103.676
267	142.832
268	55.8476
269	134.692
270	115.445
271	180.967
288	18.8764
289	130.384
290	42.3266
291	131.139
292	53.8153
293	107.603
294	65.1756
295	123.238
296	54.9386
297	132.407
298	58.1126
299	102.668
300	58.0384
301	108.677
302	72.583
303	128.56
304	61.9298
305	127.763
306	70.4233
307	149.759
308	76.0875
309	171.986
310	86.209
311	128.469
312	89.0209
313	157.871
314	90.9291
315	143.596
316	78.1693
317	163.118
318	96.1239
319	184.879
320	109.788
321	146.654
322	123.025
323	179.454
324	5.42817
325	171.157
326	82.2776
327	156.476
328	0.468818
329	161.084
330	91.5096
331	192.406
332	87.7063
333	161.504
334	56.1846
335	86.8069
336	12.7648
337	60.3954
338	39.5265
339	74.6204
340	45.0745
341	121.493
342	51.3189
343	107.163
344	68.8359
345	145.617
346	85.8527
347	139.625
348	101.542
349	140.242
350	84.6698
351	127.355
352	74.0235
353	0.48501
354	75.4932
355	130.125
356	72.1328
357	127.352
358	82.0988
359	131.387
360	83.2922
361	128.468
362	86.0361
363	137.69
364	84.8922
365	140.637
366	76.0096
367	222.169
368	97.1844
369	123.783
370	86.0035
371	160.916
372	85.6078
373	179.36
374	131.761
375	180.374
376	94.2613
377	151.585
378	105.974
379	109.582
380	116.608
381	163.435
382	36.7299
383	87.7165
384	27.7053
385	81.0495
386	48.4168
387	150.579
388	57.156
389	106.819
390	69.4351
391	122.079
392	56.0757
393	115.63
394	74.7093
395	98.2314
396	80.1498
397	151.987
398	79.3423
399	137.925
400	34.9282
401	84.508
402	29.5086
403	89.7864
404	96.9267
405	88.3726
406	71.3105
407	116.756
408	78.7464
409	143.975
410	73.8659
411	140.115
412	110.292
413	141.577
414	89.1143
415	154.26
432	20.0784
433	66.9019
434	37.9418
435	112.323
436	44.0539
437	136.253
438	42.9104
439	110.543
440	77.0441
441	126.692
442	67.3797
443	128.686
444	79.8451
445	141.528
446	115.541
447	119.297
448	74.5022
449	122.313
450	76.961
451	126.726
452	88.3357
453	131.671
454	73.1801
455	146.276
456	92.9533
457	115.125
458	95.0381
459	132.416
460	91.7429
461	153.791
462	118.57
463	127.147
480	19.7635
481	99.0612
482	67.5171
483	117.137
484	75.0788
485	103.269
486	77.2649
487	116.976
488	49.1944
489	145.85
490	76.4665
492	62.6422
493	113.372
494	104.167
495	134.766
496	73.3929
497	138.107
498	77.0823
499	102.888
500	116.852
501	125.489
502	105.158
503	125.076
504	96.8767
505	105.321
506	107.61
507	145.036
508	122.976
509	148.768
510	85.5253
511	121.24
512	105.8
513	120.918
514	84.807
515	176.91
516	82.3071
517	151.977
518	104.283
519	124.27
520	130.846
521	179.618
522	151.859
523	169.482
524	139.639
525	114.407
526	89.1303
527	101.434
528	14.1474
529	79.2136
530	54.5413
531	102.238
532	49.7084
533	132.679
534	67.8765
535	112.554
536	62.7467
537	141.727
538	117.358
539	131.012
540	87.3628
541	111.331
542	79.4381
543	113.261
544	0.444646
545	106.774
546	120.447
547	119.706
548	159.471
550	3.14688e-07
551	158.285
552	0.481481
556	98.2328
557	160.557
558	120.611
559	147.55
560	121.67
561	152.799
562	99.5614
563	166.466
564	125.887
565	140.96
566	110.66
567	128.236
568	93.732
569	203.203
570	96.326
571	122.155
572	103.311
573	162.942
574	57.997
575	134.765
576	41.7818
577	64.1925
578	63.0458
579	110.981
580	62.4977
581	103.419
582	58.2365
583	110.199
584	76.0001
585	97.6681
586	84.1525
587	121.543
588	65.382
589	128.773
590	58.3863
591	118.813
592	68.7796
593	124.389
594	47.3793
595	117
596	107.574
597	145.366
598	81.5776
599	119.529
600	108.355
601	118.371
602	121.701
603	136.584
604	86.5842
605	140.392
606	97.5358
607	150.738
608	107.459
609	124.262
610	95.7289
611	135.673
612	100.32
613	124.436
614	127.039
615	146.656
616	85.3603
617	148.312
618	110.046
619	131.625
620	115.426
621	149.49
622	53.9328
623	134.697
624	16.9503
625	71.4378
626	66.8152
627	83.2058
628	51.7332
629	84.4943
630	58.4574
631	121.748
632	98.8523
633	169.589
634	78.8053
635	112.74
636	66.5585
637	112.976
638	96.9365
639	139.771
640	63.7135
641	149.143
642	73.3163
643	144.846
644	85.2939
645	145.246
646	97.8697
647	106.109
648	93.1934
649	164.895
650	119.664
651	148.976
652	97.8558
653	184.667
654	91.4928
656	120.866
657	171.249
658	118.786
659	120.22
660	111.441
661	151.579
662	101.706
663	113.336
664	99.4915
665	154.229
666	102.9
667	141.953
668	109.6
669	173.828
670	53.258
671	88.4741
672	50.4142
673	96.5658
674	69.2238
675	153.852
676	89.671
677	150.135
678	106.186
679	109.247
680	61.9449
681	108.465
682	98.0813
683	115.66
684	78.4837
685	89.8794
686	87.7818
687	131.323
688	67.1159
689	139.464
690	92.0329
691	106.849
692	85.2517
693	143.037
694	94.0939
695	135.865
696	90.1998
697	123.371
698	107.456
699	104.935
700	126.06
701	115.122
702	90.9418
703	155.812
704	89.2891
705	123.712
706	129.429
707	124.941
708	112.146
709	94.8205
710	122.526
711	166.76
712	101.929
713	147.348
714	111.407
715	162.403
716	121.143
717	141.619
718	105.413
719	112.137
720	4.41543e-11
721	93.0955
723	100.725
724	65.8918
725	130.63
726	67.3985
727	118.153
728	74.0832
729	116.66
730	87.2553
731	112.043
732	74.0133
733	297.957
734	78.952
736	93.0623
737	138.599
738	107.754
739	163.881
740	88.459
741	108.461
742	99.0558
743	146.297
744	108.295
745	120.558
746	82.3999
747	119.692
748	94.4806
749	113.559
750	110.665
751	128.793
752	113.156
753	126.081
754	132.148
755	141.771
756	124.1
757	158.708
758	103.625
759	44.121
760	141.098
761	148.832
762	102.481
763	138.967
764	37.1183
765	167.534
766	73.9027
767	121.512
768	45.1521
769	88.5467
770	76.4825
771	90.7874
772	100.544
773	112.633
774	116.13
775	102.742
776	88.6544
777	108.072
778	96.2658
779	127.599
780	103.746
781	116.134
782	87.1974
783	119.754
784	126.382
