cell_ID	par0	err0	par1	err1	chi2	integral
1st6K	1.18183e+07	24161.4	-3.90101	0.00148241	24960.6	291434
1	7.65151	NA	NA	NA	NA	104
2	4.20354	NA	NA	NA	NA	1076
3	6.96584	NA	NA	NA	NA	150
4	3.72397	NA	NA	NA	NA	1726
5	6.00869	NA	NA	NA	NA	267
6	3.20118	NA	NA	NA	NA	3114
7	6.19511	NA	NA	NA	NA	237
8	2.96179	NA	NA	NA	NA	4217
9	6.41381	NA	NA	NA	NA	207
10	3.10649	NA	NA	NA	NA	3501
11	5.6308	NA	NA	NA	NA	344
12	2.8628	NA	NA	NA	NA	4815
13	6.18178	NA	NA	NA	NA	239
14	2.96594	NA	NA	NA	NA	4194
15	5.83185	NA	NA	NA	NA	300
16	2.92427	NA	NA	NA	NA	4432
17	5.3305	NA	NA	NA	NA	426
18	2.90941	NA	NA	NA	NA	4521
19	5.40003	NA	NA	NA	NA	405
20	2.8759	NA	NA	NA	NA	4730
21	5.33371	NA	NA	NA	NA	425
22	2.88961	NA	NA	NA	NA	4643
23	4.99259	NA	NA	NA	NA	550
24	2.89089	NA	NA	NA	NA	4635
25	4.98795	NA	NA	NA	NA	552
26	2.8219	NA	NA	NA	NA	5093
27	4.7283	NA	NA	NA	NA	680
28	2.87341	NA	NA	NA	NA	4746
29	4.9121	NA	NA	NA	NA	586
30	2.74557	NA	NA	NA	NA	5668
31	4.75175	NA	NA	NA	NA	667
32	2.76799	NA	NA	NA	NA	5491
33	4.78142	NA	NA	NA	NA	651
34	2.77097	NA	NA	NA	NA	5468
35	4.75725	NA	NA	NA	NA	664
36	2.78398	NA	NA	NA	NA	5369
37	4.81202	NA	NA	NA	NA	635
38	2.74906	NA	NA	NA	NA	5640
39	4.86387	NA	NA	NA	NA	609
40	2.81442	NA	NA	NA	NA	5146
41	4.63012	NA	NA	NA	NA	738
42	2.88043	NA	NA	NA	NA	4701
43	4.65456	NA	NA	NA	NA	723
44	2.78611	NA	NA	NA	NA	5353
45	5.11084	NA	NA	NA	NA	502
46	3.18556	NA	NA	NA	NA	3174
47	5.95784	NA	NA	NA	NA	276
48	4.07464	NA	NA	NA	NA	1215
49	7.47354	NA	NA	NA	NA	114
50	5.12662	NA	NA	NA	NA	496
51	7.02664	NA	NA	NA	NA	145
52	3.77722	NA	NA	NA	NA	1633
53	5.76406	NA	NA	NA	NA	314
54	3.41492	NA	NA	NA	NA	2420
55	5.87756	NA	NA	NA	NA	291
56	3.38935	NA	NA	NA	NA	2492
57	inf	NA	NA	NA	NA	0
58	inf	NA	NA	NA	NA	0
59	13.9462	NA	NA	NA	NA	10
60	inf	NA	NA	NA	NA	0
61	10.9164	NA	NA	NA	NA	26
62	inf	NA	NA	NA	NA	0
63	13.6096	NA	NA	NA	NA	11
64	inf	NA	NA	NA	NA	0
65	5.06739	NA	NA	NA	NA	519
66	3.01481	NA	NA	NA	NA	3935
67	5.24422	NA	NA	NA	NA	454
68	3.10876	NA	NA	NA	NA	3491
69	5.09273	NA	NA	NA	NA	509
70	3.06447	NA	NA	NA	NA	3692
71	4.92726	NA	NA	NA	NA	579
72	3.01894	NA	NA	NA	NA	3914
73	4.71414	NA	NA	NA	NA	688
74	2.96976	NA	NA	NA	NA	4173
75	4.53246	NA	NA	NA	NA	802
76	2.95766	NA	NA	NA	NA	4240
77	4.8416	NA	NA	NA	NA	620
78	2.997	NA	NA	NA	NA	4027
79	4.85571	NA	NA	NA	NA	613
80	2.99338	NA	NA	NA	NA	4046
81	4.88246	NA	NA	NA	NA	600
82	2.92427	NA	NA	NA	NA	4432
83	5.01375	NA	NA	NA	NA	541
84	2.94967	NA	NA	NA	NA	4285
85	4.92726	NA	NA	NA	NA	579
86	2.9525	NA	NA	NA	NA	4269
87	5.05002	NA	NA	NA	NA	526
88	2.82689	NA	NA	NA	NA	5058
89	4.92508	NA	NA	NA	NA	580
90	2.88059	NA	NA	NA	NA	4700
91	4.93602	NA	NA	NA	NA	575
92	3.02132	NA	NA	NA	NA	3902
93	5.58152	NA	NA	NA	NA	356
94	3.32898	NA	NA	NA	NA	2673
95	6.55627	NA	NA	NA	NA	190
96	3.96983	NA	NA	NA	NA	1345
97	8.34901	NA	NA	NA	NA	74
98	4.79278	NA	NA	NA	NA	645
99	7.32937	NA	NA	NA	NA	123
100	4.08589	NA	NA	NA	NA	1202
101	6.61042	NA	NA	NA	NA	184
102	3.72121	NA	NA	NA	NA	1731
103	6.48732	NA	NA	NA	NA	198
104	25.1652	NA	NA	NA	NA	1
105	6.78719	NA	NA	NA	NA	166
106	3.42476	NA	NA	NA	NA	2393
107	6.2569	NA	NA	NA	NA	228
108	3.52681	NA	NA	NA	NA	2134
109	6.12982	NA	NA	NA	NA	247
110	3.66801	NA	NA	NA	NA	1831
111	6.40589	NA	NA	NA	NA	208
112	3.68884	NA	NA	NA	NA	1791
113	6.03788	NA	NA	NA	NA	262
114	3.7027	NA	NA	NA	NA	1765
115	6.14905	NA	NA	NA	NA	244
116	3.46244	NA	NA	NA	NA	2293
117	5.9915	NA	NA	NA	NA	270
118	3.82176	NA	NA	NA	NA	1560
119	6.29982	NA	NA	NA	NA	222
120	3.61739	NA	NA	NA	NA	1933
121	5.73157	NA	NA	NA	NA	321
122	3.37623	NA	NA	NA	NA	2530
123	5.76878	NA	NA	NA	NA	313
124	3.41276	NA	NA	NA	NA	2426
125	5.63922	NA	NA	NA	NA	342
126	3.49654	NA	NA	NA	NA	2207
127	5.55373	NA	NA	NA	NA	363
128	3.47022	NA	NA	NA	NA	2273
129	inf	NA	NA	NA	NA	0
130	inf	NA	NA	NA	NA	0
131	inf	NA	NA	NA	NA	0
132	inf	NA	NA	NA	NA	0
133	inf	NA	NA	NA	NA	0
134	inf	NA	NA	NA	NA	0
135	inf	NA	NA	NA	NA	0
136	inf	NA	NA	NA	NA	0
137	inf	NA	NA	NA	NA	0
138	inf	NA	NA	NA	NA	0
139	inf	NA	NA	NA	NA	0
140	inf	NA	NA	NA	NA	0
141	inf	NA	NA	NA	NA	0
142	inf	NA	NA	NA	NA	0
143	inf	NA	NA	NA	NA	0
144	inf	NA	NA	NA	NA	0
145	8.84818	NA	NA	NA	NA	59
146	5.24719	NA	NA	NA	NA	453
147	7.78941	NA	NA	NA	NA	97
148	5.3273	NA	NA	NA	NA	427
149	7.32937	NA	NA	NA	NA	123
150	4.70366	NA	NA	NA	NA	694
151	6.47894	NA	NA	NA	NA	199
152	4.84561	NA	NA	NA	NA	618
153	inf	NA	NA	NA	NA	0
154	4.27013	NA	NA	NA	NA	1012
155	5.63922	NA	NA	NA	NA	342
156	4.20153	NA	NA	NA	NA	1078
157	6.17516	NA	NA	NA	NA	240
158	4.17207	NA	NA	NA	NA	1108
159	6.01447	NA	NA	NA	NA	266
160	4.00857	NA	NA	NA	NA	1295
161	6.33671	NA	NA	NA	NA	217
162	4.23204	NA	NA	NA	NA	1048
163	6.68617	NA	NA	NA	NA	176
164	4.16534	NA	NA	NA	NA	1115
165	6.14261	NA	NA	NA	NA	245
166	4.08241	NA	NA	NA	NA	1206
167	5.97456	NA	NA	NA	NA	273
168	4.76093	NA	NA	NA	NA	662
169	5.9915	NA	NA	NA	NA	270
170	4.18864	NA	NA	NA	NA	1091
171	6.00869	NA	NA	NA	NA	267
172	4.06609	NA	NA	NA	NA	1225
173	5.95784	NA	NA	NA	NA	276
174	4.86592	NA	NA	NA	NA	608
175	5.80719	NA	NA	NA	NA	305
176	3.88927	NA	NA	NA	NA	1457
177	inf	NA	NA	NA	NA	0
178	inf	NA	NA	NA	NA	0
179	inf	NA	NA	NA	NA	0
180	inf	NA	NA	NA	NA	0
181	inf	NA	NA	NA	NA	0
182	inf	NA	NA	NA	NA	0
183	inf	NA	NA	NA	NA	0
184	inf	NA	NA	NA	NA	0
185	inf	NA	NA	NA	NA	0
186	inf	NA	NA	NA	NA	0
187	inf	NA	NA	NA	NA	0
188	inf	NA	NA	NA	NA	0
189	inf	NA	NA	NA	NA	0
190	inf	NA	NA	NA	NA	0
191	inf	NA	NA	NA	NA	0
192	inf	NA	NA	NA	NA	0
193	7.54228	NA	NA	NA	NA	110
194	5.51897	NA	NA	NA	NA	372
195	7.63276	NA	NA	NA	NA	105
196	4.8376	NA	NA	NA	NA	622
197	7.68969	NA	NA	NA	NA	102
198	5.78783	NA	NA	NA	NA	309
199	inf	NA	NA	NA	NA	0
200	5.55373	NA	NA	NA	NA	363
201	6.74589	NA	NA	NA	NA	170
202	4.44808	NA	NA	NA	NA	863
203	7.0517	NA	NA	NA	NA	143
204	4.57242	NA	NA	NA	NA	775
205	7.59593	NA	NA	NA	NA	107
206	5.01375	NA	NA	NA	NA	541
207	7.24043	NA	NA	NA	NA	129
208	4.92944	NA	NA	NA	NA	578
209	6.30711	NA	NA	NA	NA	221
210	4.83362	NA	NA	NA	NA	624
211	6.15553	NA	NA	NA	NA	243
212	4.40802	NA	NA	NA	NA	894
213	6.37469	NA	NA	NA	NA	212
214	4.46273	NA	NA	NA	NA	852
215	6.02028	NA	NA	NA	NA	265
216	4.46139	NA	NA	NA	NA	853
217	6.14261	NA	NA	NA	NA	245
218	4.20153	NA	NA	NA	NA	1078
219	5.76878	NA	NA	NA	NA	313
220	4.40047	NA	NA	NA	NA	900
221	6.01447	NA	NA	NA	NA	266
222	3.99052	NA	NA	NA	NA	1318
223	5.62661	NA	NA	NA	NA	345
224	4.05426	NA	NA	NA	NA	1239
225	inf	NA	NA	NA	NA	0
226	inf	NA	NA	NA	NA	0
227	inf	NA	NA	NA	NA	0
228	inf	NA	NA	NA	NA	0
229	inf	NA	NA	NA	NA	0
230	inf	NA	NA	NA	NA	0
231	inf	NA	NA	NA	NA	0
232	inf	NA	NA	NA	NA	0
233	inf	NA	NA	NA	NA	0
234	inf	NA	NA	NA	NA	0
235	inf	NA	NA	NA	NA	0
236	inf	NA	NA	NA	NA	0
237	inf	NA	NA	NA	NA	0
238	inf	NA	NA	NA	NA	0
239	inf	NA	NA	NA	NA	0
240	inf	NA	NA	NA	NA	0
241	8.92675	NA	NA	NA	NA	57
242	5.68228	NA	NA	NA	NA	332
243	7.17019	NA	NA	NA	NA	134
244	4.61734	NA	NA	NA	NA	746
245	6.89616	NA	NA	NA	NA	156
246	4.27883	NA	NA	NA	NA	1004
247	6.46236	NA	NA	NA	NA	201
248	3.88178	NA	NA	NA	NA	1468
249	6.24988	NA	NA	NA	NA	229
250	3.78857	NA	NA	NA	NA	1614
251	5.96339	NA	NA	NA	NA	275
252	3.98126	NA	NA	NA	NA	1330
253	5.94683	NA	NA	NA	NA	278
254	3.84019	NA	NA	NA	NA	1531
255	5.75003	NA	NA	NA	NA	317
256	3.77367	NA	NA	NA	NA	1639
257	5.64346	NA	NA	NA	NA	341
258	3.70485	NA	NA	NA	NA	1761
259	5.72246	NA	NA	NA	NA	323
260	3.75674	NA	NA	NA	NA	1668
261	5.88796	NA	NA	NA	NA	289
262	3.90726	NA	NA	NA	NA	1431
263	5.39321	NA	NA	NA	NA	407
264	3.59986	NA	NA	NA	NA	1970
265	5.15074	NA	NA	NA	NA	487
266	3.54266	NA	NA	NA	NA	2097
267	5.50762	NA	NA	NA	NA	375
268	3.64227	NA	NA	NA	NA	1882
269	5.41379	NA	NA	NA	NA	401
270	3.62511	NA	NA	NA	NA	1917
271	4.93383	NA	NA	NA	NA	576
272	3.54657	NA	NA	NA	NA	2088
273	inf	NA	NA	NA	NA	0
