cell_ID	par0	err0	par1	err1	chi2	integral
1st6K	1.18183e+07	24161.4	-3.90101	0.00148241	24960.6	488
1	1.4863	NA	NA	NA	NA	104
2	0.816533	NA	NA	NA	NA	1076
3	1.35311	NA	NA	NA	NA	150
4	0.723377	NA	NA	NA	NA	1726
5	1.16718	NA	NA	NA	NA	267
6	0.621827	NA	NA	NA	NA	3114
7	1.20339	NA	NA	NA	NA	237
8	0.575324	NA	NA	NA	NA	4217
9	1.24588	NA	NA	NA	NA	207
10	0.603432	NA	NA	NA	NA	3501
11	1.09378	NA	NA	NA	NA	344
12	0.556095	NA	NA	NA	NA	4815
13	1.2008	NA	NA	NA	NA	239
14	0.576131	NA	NA	NA	NA	4194
15	1.13283	NA	NA	NA	NA	300
16	0.568037	NA	NA	NA	NA	4432
17	1.03544	NA	NA	NA	NA	426
18	0.565149	NA	NA	NA	NA	4521
19	1.04895	NA	NA	NA	NA	405
20	0.55864	NA	NA	NA	NA	4730
21	1.03607	NA	NA	NA	NA	425
22	0.561305	NA	NA	NA	NA	4643
23	0.969806	NA	NA	NA	NA	550
24	0.561553	NA	NA	NA	NA	4635
25	0.968904	NA	NA	NA	NA	552
26	0.548151	NA	NA	NA	NA	5093
27	0.918467	NA	NA	NA	NA	680
28	0.558157	NA	NA	NA	NA	4746
29	0.954171	NA	NA	NA	NA	586
30	0.533324	NA	NA	NA	NA	5668
31	0.923023	NA	NA	NA	NA	667
32	0.537679	NA	NA	NA	NA	5491
33	0.928786	NA	NA	NA	NA	651
34	0.538258	NA	NA	NA	NA	5468
35	0.92409	NA	NA	NA	NA	664
36	0.540785	NA	NA	NA	NA	5369
37	0.93473	NA	NA	NA	NA	635
38	0.534002	NA	NA	NA	NA	5640
39	0.944801	NA	NA	NA	NA	609
40	0.546698	NA	NA	NA	NA	5146
41	0.899397	NA	NA	NA	NA	738
42	0.559521	NA	NA	NA	NA	4701
43	0.904144	NA	NA	NA	NA	723
44	0.541199	NA	NA	NA	NA	5353
45	0.992776	NA	NA	NA	NA	502
46	0.618792	NA	NA	NA	NA	3174
47	1.1573	NA	NA	NA	NA	276
48	0.791494	NA	NA	NA	NA	1215
49	1.45173	NA	NA	NA	NA	114
50	0.99584	NA	NA	NA	NA	496
51	1.36492	NA	NA	NA	NA	145
52	0.733721	NA	NA	NA	NA	1633
53	1.11966	NA	NA	NA	NA	314
54	0.663345	NA	NA	NA	NA	2420
55	1.14171	NA	NA	NA	NA	291
56	0.658379	NA	NA	NA	NA	2492
57	inf	NA	NA	NA	NA	0
58	inf	NA	NA	NA	NA	0
59	2.70904	NA	NA	NA	NA	10
60	inf	NA	NA	NA	NA	0
61	2.12051	NA	NA	NA	NA	26
62	inf	NA	NA	NA	NA	0
63	2.64366	NA	NA	NA	NA	11
64	inf	NA	NA	NA	NA	0
65	0.984336	NA	NA	NA	NA	519
66	0.585623	NA	NA	NA	NA	3935
67	1.01869	NA	NA	NA	NA	454
68	0.603874	NA	NA	NA	NA	3491
69	0.989258	NA	NA	NA	NA	509
70	0.595271	NA	NA	NA	NA	3692
71	0.957115	NA	NA	NA	NA	579
72	0.586427	NA	NA	NA	NA	3914
73	0.915718	NA	NA	NA	NA	688
74	0.576873	NA	NA	NA	NA	4173
75	0.880426	NA	NA	NA	NA	802
76	0.574523	NA	NA	NA	NA	4240
77	0.940475	NA	NA	NA	NA	620
78	0.582164	NA	NA	NA	NA	4027
79	0.943217	NA	NA	NA	NA	613
80	0.581462	NA	NA	NA	NA	4046
81	0.948414	NA	NA	NA	NA	600
82	0.568037	NA	NA	NA	NA	4432
83	0.973916	NA	NA	NA	NA	541
84	0.57297	NA	NA	NA	NA	4285
85	0.957115	NA	NA	NA	NA	579
86	0.57352	NA	NA	NA	NA	4269
87	0.980961	NA	NA	NA	NA	526
88	0.549121	NA	NA	NA	NA	5058
89	0.956692	NA	NA	NA	NA	580
90	0.559552	NA	NA	NA	NA	4700
91	0.958818	NA	NA	NA	NA	575
92	0.586889	NA	NA	NA	NA	3902
93	1.0842	NA	NA	NA	NA	356
94	0.646651	NA	NA	NA	NA	2673
95	1.27355	NA	NA	NA	NA	190
96	0.771136	NA	NA	NA	NA	1345
97	1.62179	NA	NA	NA	NA	74
98	0.930993	NA	NA	NA	NA	645
99	1.42372	NA	NA	NA	NA	123
100	0.79368	NA	NA	NA	NA	1202
101	1.28407	NA	NA	NA	NA	184
102	0.72284	NA	NA	NA	NA	1731
103	1.26015	NA	NA	NA	NA	198
104	4.88832	NA	NA	NA	NA	1
105	1.3184	NA	NA	NA	NA	166
106	0.665256	NA	NA	NA	NA	2393
107	1.2154	NA	NA	NA	NA	228
108	0.68508	NA	NA	NA	NA	2134
109	1.19071	NA	NA	NA	NA	247
110	0.712508	NA	NA	NA	NA	1831
111	1.24434	NA	NA	NA	NA	208
112	0.716554	NA	NA	NA	NA	1791
113	1.17285	NA	NA	NA	NA	262
114	0.719245	NA	NA	NA	NA	1765
115	1.19445	NA	NA	NA	NA	244
116	0.672576	NA	NA	NA	NA	2293
117	1.16384	NA	NA	NA	NA	270
118	0.742373	NA	NA	NA	NA	1560
119	1.22373	NA	NA	NA	NA	222
120	0.702675	NA	NA	NA	NA	1933
121	1.11335	NA	NA	NA	NA	321
122	0.65583	NA	NA	NA	NA	2530
123	1.12058	NA	NA	NA	NA	313
124	0.662924	NA	NA	NA	NA	2426
125	1.09541	NA	NA	NA	NA	342
126	0.679199	NA	NA	NA	NA	2207
127	1.07881	NA	NA	NA	NA	363
128	0.674088	NA	NA	NA	NA	2273
129	inf	NA	NA	NA	NA	0
130	inf	NA	NA	NA	NA	0
131	inf	NA	NA	NA	NA	0
132	inf	NA	NA	NA	NA	0
133	inf	NA	NA	NA	NA	0
134	inf	NA	NA	NA	NA	0
135	inf	NA	NA	NA	NA	0
136	inf	NA	NA	NA	NA	0
137	inf	NA	NA	NA	NA	0
138	inf	NA	NA	NA	NA	0
139	inf	NA	NA	NA	NA	0
140	inf	NA	NA	NA	NA	0
141	inf	NA	NA	NA	NA	0
142	inf	NA	NA	NA	NA	0
143	inf	NA	NA	NA	NA	0
144	inf	NA	NA	NA	NA	0
145	1.71875	NA	NA	NA	NA	59
146	1.01926	NA	NA	NA	NA	453
147	1.51308	NA	NA	NA	NA	97
148	1.03482	NA	NA	NA	NA	427
149	1.42372	NA	NA	NA	NA	123
150	0.913682	NA	NA	NA	NA	694
151	1.25853	NA	NA	NA	NA	199
152	0.941255	NA	NA	NA	NA	618
153	inf	NA	NA	NA	NA	0
154	0.829469	NA	NA	NA	NA	1012
155	1.09541	NA	NA	NA	NA	342
156	0.816144	NA	NA	NA	NA	1078
157	1.19952	NA	NA	NA	NA	240
158	0.810421	NA	NA	NA	NA	1108
159	1.16831	NA	NA	NA	NA	266
160	0.778662	NA	NA	NA	NA	1295
161	1.2309	NA	NA	NA	NA	217
162	0.82207	NA	NA	NA	NA	1048
163	1.29878	NA	NA	NA	NA	176
164	0.809114	NA	NA	NA	NA	1115
165	1.1932	NA	NA	NA	NA	245
166	0.793004	NA	NA	NA	NA	1206
167	1.16055	NA	NA	NA	NA	273
168	0.924805	NA	NA	NA	NA	662
169	1.16384	NA	NA	NA	NA	270
170	0.81364	NA	NA	NA	NA	1091
171	1.16718	NA	NA	NA	NA	267
172	0.789833	NA	NA	NA	NA	1225
173	1.1573	NA	NA	NA	NA	276
174	0.945199	NA	NA	NA	NA	608
175	1.12804	NA	NA	NA	NA	305
176	0.755486	NA	NA	NA	NA	1457
177	inf	NA	NA	NA	NA	0
178	inf	NA	NA	NA	NA	0
179	inf	NA	NA	NA	NA	0
180	inf	NA	NA	NA	NA	0
181	inf	NA	NA	NA	NA	0
182	inf	NA	NA	NA	NA	0
183	inf	NA	NA	NA	NA	0
184	inf	NA	NA	NA	NA	0
185	inf	NA	NA	NA	NA	0
186	inf	NA	NA	NA	NA	0
187	inf	NA	NA	NA	NA	0
188	inf	NA	NA	NA	NA	0
189	inf	NA	NA	NA	NA	0
190	inf	NA	NA	NA	NA	0
191	inf	NA	NA	NA	NA	0
192	inf	NA	NA	NA	NA	0
193	1.46508	NA	NA	NA	NA	110
194	1.07205	NA	NA	NA	NA	372
195	1.48266	NA	NA	NA	NA	105
196	0.939699	NA	NA	NA	NA	622
197	1.49371	NA	NA	NA	NA	102
198	1.12428	NA	NA	NA	NA	309
199	inf	NA	NA	NA	NA	0
200	1.07881	NA	NA	NA	NA	363
201	1.31038	NA	NA	NA	NA	170
202	0.864036	NA	NA	NA	NA	863
203	1.36979	NA	NA	NA	NA	143
204	0.888189	NA	NA	NA	NA	775
205	1.4755	NA	NA	NA	NA	107
206	0.973916	NA	NA	NA	NA	541
207	1.40645	NA	NA	NA	NA	129
208	0.957539	NA	NA	NA	NA	578
209	1.22515	NA	NA	NA	NA	221
210	0.938926	NA	NA	NA	NA	624
211	1.19571	NA	NA	NA	NA	243
212	0.856254	NA	NA	NA	NA	894
213	1.23828	NA	NA	NA	NA	212
214	0.866882	NA	NA	NA	NA	852
215	1.16943	NA	NA	NA	NA	265
216	0.866621	NA	NA	NA	NA	853
217	1.1932	NA	NA	NA	NA	245
218	0.816144	NA	NA	NA	NA	1078
219	1.12058	NA	NA	NA	NA	313
220	0.854787	NA	NA	NA	NA	900
221	1.16831	NA	NA	NA	NA	266
222	0.775155	NA	NA	NA	NA	1318
223	1.09296	NA	NA	NA	NA	345
224	0.787535	NA	NA	NA	NA	1239
225	inf	NA	NA	NA	NA	0
226	inf	NA	NA	NA	NA	0
227	inf	NA	NA	NA	NA	0
228	inf	NA	NA	NA	NA	0
229	inf	NA	NA	NA	NA	0
230	inf	NA	NA	NA	NA	0
231	inf	NA	NA	NA	NA	0
232	inf	NA	NA	NA	NA	0
233	inf	NA	NA	NA	NA	0
234	inf	NA	NA	NA	NA	0
235	inf	NA	NA	NA	NA	0
236	inf	NA	NA	NA	NA	0
237	inf	NA	NA	NA	NA	0
238	inf	NA	NA	NA	NA	0
239	inf	NA	NA	NA	NA	0
240	inf	NA	NA	NA	NA	0
241	1.73401	NA	NA	NA	NA	57
242	1.10378	NA	NA	NA	NA	332
243	1.3928	NA	NA	NA	NA	134
244	0.896914	NA	NA	NA	NA	746
245	1.33957	NA	NA	NA	NA	156
246	0.831159	NA	NA	NA	NA	1004
247	1.25531	NA	NA	NA	NA	201
248	0.754031	NA	NA	NA	NA	1468
249	1.21403	NA	NA	NA	NA	229
