cell_ID	par0	err0	par1	err1	chi2
1	18.1397	4.83202	-1.85205	0.258855	83.3453
2	285.28	15.9781	-2.5732	0.0503316	538.586
3	54.6831	11.2799	-2.48333	0.20453	138.756
4	1101.65	52.3046	-3.17912	0.0456111	329.194
5	899.029	1	-5.19185	127.644	315.587
6	858.623	25.7815	-2.63902	0.026377	1490.46
7	175.455	27.0151	-3.20907	0.155753	136.513
8	944.305	24.285	-2.54195	0.022059	2350.38
9	216.25	34.9286	-3.43952	0.166118	139.658
10	1372.56	37.299	-2.84549	0.0244447	1585.07
11	191.422	21.2738	-2.9833	0.108805	202.757
12	1313.94	30.6666	-2.66726	0.020262	2572.94
13	241.939	35.4928	-3.35392	0.15091	102.638
14	1321.54	33.0888	-2.71914	0.0220978	1901.85
15	277.495	34.1216	-3.34859	0.124628	155.596
16	1504.5	36.2049	-2.77834	0.0212863	1736.49
17	354.153	35.675	-3.30719	0.100534	164.214
18	1290.56	31.4715	-2.66171	0.0213083	1677.91
19	345.251	33.4171	-3.26863	0.0966394	203.211
20	1571.84	36.7958	-2.73309	0.0207144	1812.81
21	419.057	38.9108	-3.3988	0.0930548	228.977
22	1278.32	30.7498	-2.65089	0.0209711	2051.13
23	651.664	52.9513	-3.5849	0.0820199	304.777
24	1253.31	30.0714	-2.62813	0.0208982	2086.72
25	717.666	57.26	-3.63316	0.0808472	242.534
26	1491.94	33.1205	-2.68377	0.0192733	2381.23
27	699.869	51.9121	-3.46941	0.0740865	226.179
28	1678.16	38.1698	-2.77096	0.0201101	1912.11
29	720.905	55.3381	-3.59098	0.0775202	289.738
30	1802.45	37.575	-2.71491	0.0182291	2335.98
31	497.711	35.2792	-3.16903	0.0692904	212.517
32	2030.42	42.9385	-2.80103	0.0187384	1969.54
33	599.569	44.4392	-3.34482	0.0733709	218.177
34	1382.51	30.2756	-2.58211	0.0188481	2195.48
35	580.404	41.6496	-3.30019	0.0709083	230.571
36	1583.84	34.1828	-2.67287	0.018742	2203.62
37	696.134	51.6076	-3.4825	0.0743004	209.374
38	1393.53	29.7629	-2.58203	0.0182347	2121.37
39	859.738	65.4734	-3.71574	0.0774108	238.116
40	1534.4	33.8971	-2.64028	0.0192145	1690.99
41	1014.98	69.1319	-3.65343	0.0687483	227.495
42	1652.11	38.0228	-2.77277	0.0203088	1734.62
43	534.234	37.6672	-3.22833	0.0689014	249.116
44	1687.45	36.9868	-2.70529	0.0192247	1787.2
45	377.503	33.9738	-3.22166	0.0889321	228.576
46	951.343	28.873	-2.65875	0.0268118	815.063
47	350.602	44.7911	-3.59549	0.131722	155.41
48	352.226	18.4389	-2.60358	0.0471696	496.041
49	32.0738	7.70837	-2.25119	0.238651	111.421
50	173.768	15.9627	-2.71718	0.0865941	300.369
51	101.674	22.1558	-3.06799	0.223804	93.1233
52	666.939	28.3278	-2.79838	0.0390722	665.656
53	218.097	25.4346	-3.12646	0.115829	144.57
