cell_ID	par0	err0	par1	err1	chi2
ave6000	1.18183e+07	24161.4	-3.90101	0.00148241	24960.6
1	4.27524	3.56037	-0.79822	0.61389	17.8418
2	2632.15	638.215	-4.13541	0.182342	109.566
3	5.80311	3.2537	-0.899179	0.391787	32.3955
4	1771.81	302.696	-3.52016	0.124374	223.426
5	76.0906	53.0974	-2.51922	0.520321	68.6441
6	6634.49	780.721	-4.007	0.0871272	182.292
7	25.4988	17.5956	-1.81901	0.503714	58.6935
8	10250.3	1068.81	-4.09999	0.07738	200.158
9	17.2846	11.4556	-1.60773	0.476316	48.8664
10	8761.38	997.222	-4.11971	0.0846315	164.501
11	174.039	107.45	-3.00367	0.462477	80.6735
12	11304.9	1031.25	-4.07512	0.0674767	232.633
13	90.7454	60.2419	-2.6304	0.498947	39.8012
14	8826.06	858.532	-3.98978	0.0718128	192.721
15	177.82	130.836	-3.08431	0.55643	66.9869
16	8732.6	782.721	-3.93965	0.065829	186.306
17	303.721	166.828	-3.26292	0.411516	90.0232
18	7914.35	706.767	-3.84939	0.0653684	179.04
19	365.397	189.964	-3.40194	0.392866	82.7686
20	8324.94	749.971	-3.85094	0.0660899	181.774
21	337.045	183.008	-3.34709	0.407823	97.8126
22	9319.77	831.938	-3.95064	0.0656808	183.767
23	697.814	351.672	-3.74092	0.381258	134.906
24	8571.05	755.834	-3.88788	0.0647571	180.076
25	1238.38	616.184	-4.12981	0.380679	109.942
26	8588.85	687.444	-3.8251	0.0583506	214.655
27	1015.89	372.521	-3.79355	0.275819	105.546
28	7916	681.709	-3.80913	0.0629097	160.958
29	901.917	374.148	-3.85618	0.314315	130.198
30	8747.75	663.422	-3.75419	0.0551527	203.725
31	973.884	312.701	-3.72107	0.241776	73.9635
32	8806.6	687.531	-3.77987	0.0568387	177.878
33	613.667	209.962	-3.43514	0.254403	94.3922
34	8624.02	689.189	-3.76555	0.0582599	170.592
35	1101.51	378.529	-3.83749	0.259954	86.8345
36	8041.28	621.106	-3.73233	0.0560632	190.087
37	1225.99	442.987	-3.9619	0.274243	88.454
38	7569.97	553.908	-3.65177	0.052805	192.836
39	1528.54	684.385	-4.22357	0.342065	121.647
40	5677.97	433.089	-3.50191	0.0547554	149.638
41	871.648	264.971	-3.61264	0.226087	106.076
42	6683.07	548.078	-3.70235	0.0593982	216.514
43	1193.71	390.63	-3.86385	0.246253	108.008
44	7893.3	612.387	-3.71779	0.0563242	173.624
45	501.579	218.054	-3.48108	0.32619	85.314
46	3635.4	389.951	-3.55265	0.0774946	194.045
