cell_ID	Chi1	Chi2	
0	-1	-1
1	964.876	31.2376
2	-1	-1
3	1607.14	49.4641
4	202.18	44.9978
5	3109.36	51.1295
6	172.048	27.7002
7	4205.83	87.6534
8	141.775	29.7697
9	3483.72	40.35
10	274.686	21.8284
11	4844.92	72.5553
12	175.538	33.2132
13	4156.2	51.0116
14	217.751	23.8915
15	4467.39	49.027
16	361.301	24.8428
17	4480.96	51.5417
18	319.688	23.6395
19	4740.61	50.6495
20	338.298	28.8443
21	4659.99	46.8307
22	482.219	28.7995
23	4679.09	68.8108
24	463.262	35.079
25	5105.4	63.6234
26	609.292	31.5947
27	4751.25	64.4758
28	513.512	49.4561
29	5627.25	66.1328
30	589.138	26.8855
31	5480.89	40.9546
32	578.875	42.9402
33	5519.11	48.7071
34	596.13	32.7077
35	5342.9	48.1293
36	562.688	36.2346
37	5594.29	53.8479
38	540.777	29.3879
39	5138.98	65.2221
40	663.737	23.5526
41	4678.99	77.8891
42	644.643	32.7151
43	5341.46	52.2182
44	413.656	28.1097
45	3067.91	42.3641
46	201.51	16.3837
47	1096.66	31.7605
48	-1	-1
49	388.641	30.7378
50	-1	-1
51	1562.09	49.7403
52	242.679	23.6126
53	2398.53	46.17
54	208.889	33.4815
55	2467.27	51.1639
56	-1	-1
57	-1	-1
58	-1	-1
59	-1	-1
60	-1	-1
61	-1	-1
62	-1	-1
63	-1	-1
64	438.337	16.079
65	3908.89	44.3509
66	384.561	28.9648
67	3426.02	67.3405
68	453.993	42.724
69	3676.88	51.8324
70	509.579	27.7199
71	3930.92	61.9439
72	590.289	35.6195
73	4180.97	54.025
74	730.759	33.5147
75	4197.57	37.8456
76	549.433	35.4394
77	4006.8	55.0288
78	542.742	37.4932
79	3976.4	37.9058
80	527.698	31.5269
81	4424.08	52.2869
82	453.773	29.7165
83	4274.38	38.6296
84	517.775	28.7723
85	4294.01	74.3553
86	449.957	32.0767
87	5058.56	125.234
88	525.688	33.8324
89	4665.18	51.549
90	501.74	42.5352
91	3886.63	52.5079
92	280.058	29.8363
93	2630.32	48.2092
94	138.433	25.5068
95	1232.18	60.5314
96	-1	-1
97	558.177	30.2637
98	-1	-1
99	1134.73	32.211
100	-1	-1
101	1623.16	44.4059
102	136.856	16.5547
103	-1	-1
104	-1	-1
105	2356.9	82.787
106	162.591	21.7773
107	2074.79	43.7225
108	186.762	28.1072
109	1791.63	54.1702
110	133.526	12.5256
111	1730.81	74.7919
112	198.237	33.7684
113	1726.29	60.1519
114	173.971	15.6998
115	2227.98	40.1275
116	209.319	24.767
117	1434.79	38.2847
118	151.866	16.8876
119	1822.8	77.3857
120	250.281	33.1127
121	2481.92	33.3727
122	248.079	28.9358
123	2397.94	70.8779
124	276.938	34.0891
125	2141.13	57.4745
126	291.807	11.0821
127	2232.94	78.6475
128	-1	-1
129	-1	-1
130	-1	-1
131	-1	-1
132	-1	-1
133	-1	-1
134	-1	-1
135	-1	-1
136	-1	-1
137	-1	-1
138	-1	-1
139	-1	-1
140	-1	-1
141	-1	-1
142	-1	-1
143	-1	-1
144	-1	-1
145	364.908	48.6142
146	-1	-1
147	343.577	37.1166
148	-1	-1
149	589.189	26.3314
150	116.384	18.43
151	547.854	37.925
152	-1	-1
153	927.277	28.0418
154	256.07	27.0112
155	1001.63	35.5189
156	178.474	42.1054
157	1027.54	49.542
158	190.204	20.7511
159	1172.77	48.1617
160	150.7	17.967
161	979.643	33.6496
162	-1	-1
163	1036.42	50.3427
164	175.037	25.6932
165	1126.12	54.462
166	225.276	20.4557
167	584.831	35.0314
168	186.517	18.6731
169	996.238	31.2742
170	192.381	19.2007
171	1117.69	23.0468
172	209.739	24.2777
173	530.359	29.7899
174	239.948	17.4012
175	1331.34	34.5135
176	-1	-1
177	-1	-1
178	-1	-1
179	-1	-1
180	-1	-1
181	-1	-1
182	-1	-1
183	-1	-1
184	-1	-1
185	-1	-1
186	-1	-1
187	-1	-1
188	-1	-1
189	-1	-1
190	-1	-1
191	-1	-1
192	-1	-1
193	299.947	22.812
194	-1	-1
195	540.026	65.9156
196	-1	-1
197	213.283	34.8812
198	-1	-1
199	260.157	38.6318
200	-1	-1
201	767.757	25.9681
202	-1	-1
203	676.385	31.1454
204	-1	-1
205	463.105	30.0329
206	-1	-1
207	482.797	30.3328
208	150.026	15.8198
209	513.199	33.4815
210	164.65	17.5397
211	772.925	24.0144
212	166.029	25.759
213	754.819	38.9601
214	196.718	33.679
215	741.946	19.8986
216	191.748	30.6471
217	966.949	31.3843
218	228.831	20.809
219	803.042	25.3322
220	204.117	22.5704
221	1245.06	47.3331
222	272.736	19.3411
223	1140.19	24.2757
224	-1	-1
225	-1	-1
226	-1	-1
227	-1	-1
228	-1	-1
229	-1	-1
230	-1	-1
231	-1	-1
232	-1	-1
233	-1	-1
234	-1	-1
235	-1	-1
236	-1	-1
237	-1	-1
238	-1	-1
239	-1	-1
240	-1	-1
241	265.72	24.9543
242	-1	-1
243	678.267	47.6312
244	-1	-1
245	945.334	31.3204
246	143.138	18.1575
247	1381.04	24.1852
248	163.064	13.5692
249	1539.49	27.2982
250	203.426	28.0346
251	1242.11	27.6655
252	208.568	30.6079
253	1452.47	36.8568
254	223.796	21.6799
255	1574.88	60.4248
256	275.713	26.5857
257	1653.94	34.0529
258	255.455	26.2079
259	1605.94	42.6202
260	219.348	13.688
261	1361.96	37.5628
262	337.339	36.3313
263	1909.37	53.1238
264	400.542	23.8218
265	2019.51	77.4917
266	302.829	24.3089
267	1828.99	33.9606
268	348.788	36.4608
269	1825	55.3444
270	499.256	40.2575
271	2006.81	65.3976
272	-1	-1
273	-1	-1
274	-1	-1
275	-1	-1
276	-1	-1
277	-1	-1
278	-1	-1
279	-1	-1
280	-1	-1
281	-1	-1
282	-1	-1
283	-1	-1
284	-1	-1
285	-1	-1
286	-1	-1
287	-1	-1
288	-1	-1
289	350.531	44.5596
290	-1	-1
291	984.64	36.8954
292	170.325	21.5763
293	1071.73	35.8457
294	170.646	27.6673
295	1248.8	38.7286
296	161.237	27.0665
297	1094.14	35.0048
298	171.653	38.4165
299	995.29	24.7857
300	176.697	21.9865
301	1032.19	45.0871
302	212.397	31.8095
303	1205.92	31.0607
304	195.837	40.3867
305	1268.1	35.3594
306	242.902	21.6675
307	1370.19	28.7149
308	285.95	33.3108
309	1532.99	61.2086
310	274.616	38.0987
311	1620.27	47.0623
312	380.851	11.4462
313	1648.29	52.1258
314	346.424	24.0513
315	1153.02	52.1088
316	368.203	24.9706
317	1827.64	37.1078
318	370.397	34.04
319	1969.76	43.9671
320	464.367	33.7285
321	2277.93	30.3577
322	473.894	40.0426
323	1766.73	37.7115
324	-1	-1
325	3244.36	46.3724
326	785.229	23.8268
327	2963.26	34.7022
328	-1	-1
329	3910.24	60.5457
330	939.267	19.184
331	3680.73	39.4772
332	456.597	37.3577
333	2668.9	46.5672
334	198.559	16.5264
335	739.451	15.5413
336	-1	-1
337	234.461	19.7742
338	-1	-1
339	643.89	29.107
340	-1	-1
341	958.084	37.5051
342	137.448	30.9611
343	1059.58	36.1983
344	238.951	54.4897
345	1331.12	28.5747
346	240.703	15.891
347	1658.87	35.1559
348	302.476	19.915
349	1680.16	54.729
350	303.988	25.6394
351	1616.62	30.3846
352	260.47	30.1824
353	-1	-1
354	278.726	31.9985
355	1519.8	48.7176
356	282.031	29.9349
357	1383.44	34.1049
358	285.455	23.5191
359	1801.8	32.9554
360	327.24	26.5012
361	1750.49	33.9219
362	308.65	29.4902
363	1578.98	40.3212
364	360.426	41.2492
365	1553.02	36.2132
366	365.082	45.6305
367	1718.03	63.8944
368	464.907	16.7916
369	2337.86	38.4448
370	447.482	19.4164
371	2286.64	28.7814
372	479.037	18.7493
373	3035.25	46.2629
374	509.569	29.3415
375	3367.79	40.0961
376	447.724	26.6688
377	2596.57	52.8781
378	482.146	24.6382
379	2253	48.734
380	385.696	33.031
381	1863.43	33.1608
382	-1	-1
383	395.638	28.2454
384	-1	-1
385	367.907	35.1874
386	139.177	22.865
387	815.217	50.4399
388	178.115	26.7941
389	974.375	27.3534
390	243.175	25.2535
391	1118.95	38.6952
392	152.034	18.1519
393	922.546	28.7228
394	241.899	24.3806
395	988.404	27.3877
396	205.351	39.5709
397	955.253	26.9564
398	235.378	35.5392
399	1133.18	36.757
400	-1	-1
401	222.685	16.4056
402	-1	-1
403	331.517	39.1419
404	244.401	31.2274
405	804.418	21.3397
406	227.138	22.529
407	783.297	37.34
408	390.985	20.0617
409	1445.1	27.2542
410	330.149	37.1896
411	1448.2	39.4707
412	305.378	27.3212
413	1457.86	38.1441
414	489.511	28.2889
415	1530.89	31.6118
416	-1	-1
417	-1	-1
418	-1	-1
419	-1	-1
420	-1	-1
421	-1	-1
422	-1	-1
423	-1	-1
424	-1	-1
425	-1	-1
